;0
P_11[0,0];0.8515354026313702
P_11[1,0];0.0
P_11[2,0];0.0
P_11[3,0];0.0
P_11[4,0];0.0
P_11[5,0];0.0
P_11[6,0];0.0
P_11[7,0];0.0
P_11[8,0];0.0
P_11[9,0];0.0
P_11[10,0];0.0
P_11[11,0];0.0
P_11[12,0];0.0
P_11[13,0];0.0
P_11[14,0];0.0
P_11[15,0];0.0
P_11[16,0];0.0
P_11[17,0];0.0
P_11[18,0];0.0
P_11[19,0];0.0
P_11[20,0];0.0
P_11[21,0];0.0
P_11[22,0];0.0
P_11[23,0];0.0
P_11[24,0];0.0
P_11[25,0];0.0
P_11[26,0];0.0
P_11[27,0];0.0
P_11[28,0];116.10965040379962
P_11[29,0];0.0
P_11[30,0];0.0
P_11[31,0];0.0
P_11[32,0];0.0
P_11[33,0];0.0
P_11[34,0];0.0
P_11[35,0];0.0
P_11[36,0];0.0
P_11[37,0];0.0
P_11[38,0];0.0
P_11[39,0];0.0
P_11[40,0];0.0
P_11[41,0];0.0
P_11[42,0];0.0
P_11[43,0];0.0
P_11[44,0];0.0
P_11[45,0];0.0
P_11[46,0];0.0
P_11[47,0];175.0839780620889
P_11[48,0];0.0
P_11[49,0];0.0
P_11[50,0];0.0
P_11[51,0];175.5993086466816
P_11[52,0];0.0
P_11[53,0];0.0
P_11[54,0];0.0
P_11[55,0];0.0
P_11[56,0];0.0
P_11[57,0];0.0
P_11[58,0];0.0
P_11[59,0];0.0
P_11[60,0];0.0
P_11[61,0];0.0
P_11[62,0];182.08063869456063
P_11[63,0];0.0
P_11[64,0];201.89900928301125
P_11[65,0];60.37096225867251
P_11[66,0];317.93871948733766
P_11[67,0];65.33290973115295
P_11[68,0];335.857908162143
P_11[69,0];69.8143880198786
P_11[70,0];0.0
P_11[71,0];0.0
P_11[72,0];0.0
P_11[73,0];0.0
P_11[74,0];0.0
P_11[75,0];0.0
P_11[76,0];347.7114600378344
P_11[77,0];89.73216453386497
P_11[78,0];0.0
P_11[79,0];0.0
P_11[80,0];351.2503030012475
P_11[81,0];0.0
P_11[82,0];107.54503245987979
P_11[83,0];0.0
P_11[84,0];0.0
P_11[85,0];360.77661725527344
P_11[86,0];0.0
P_11[87,0];0.0
P_11[88,0];0.0
P_11[89,0];468.62742734255613
P_11[90,0];0.0
P_11[91,0];0.0
P_11[92,0];0.0
P_11[93,0];0.0
P_11[94,0];0.0
P_11[95,0];0.0
P_11[96,0];485.881609720595
P_11[97,0];0.0
P_11[98,0];0.0
P_11[99,0];0.0
P_11[100,0];486.0928986571137
P_11[101,0];0.0
P_11[102,0];0.0
P_11[103,0];0.0
P_11[104,0];0.0
P_11[105,0];0.0
P_11[106,0];493.26891856133955
P_11[107,0];0.0
P_11[108,0];0.0
P_11[109,0];0.0
P_11[110,0];0.0
P_11[111,0];0.0
P_11[112,0];0.0
P_11[113,0];0.0
P_11[114,0];0.0
P_11[115,0];0.0
P_11[116,0];0.0
P_11[117,0];0.0
P_11[118,0];0.0
P_11[119,0];0.0
P_11[120,0];0.0
P_11[121,0];0.0
P_11[122,0];0.0
P_11[123,0];495.357434997215
P_11[124,0];0.0
P_11[125,0];0.0
P_11[126,0];0.0
P_11[127,0];0.0
P_11[128,0];0.0
P_11[129,0];0.0
P_11[130,0];0.0
P_11[131,0];0.0
P_11[132,0];0.0
P_11[133,0];495.93792894110504
P_11[134,0];0.0
P_11[135,0];0.0
P_11[136,0];0.0
P_11[137,0];0.0
P_11[138,0];496.50229203699365
P_11[139,0];0.0
