;0
P_11[0,0];0.0
P_11[0,1];0.0
P_11[1,0];0.0
P_11[1,1];0.0
P_11[2,0];0.0
P_11[2,1];0.0
P_11[3,0];0.0
P_11[3,1];0.0
P_11[4,0];0.0
P_11[4,1];0.0
P_11[5,0];0.0
P_11[5,1];0.0
P_11[6,0];0.0
P_11[6,1];0.0
P_11[7,0];0.0
P_11[7,1];0.0
P_11[8,0];0.0
P_11[8,1];0.0
P_11[9,0];0.0
P_11[9,1];0.0
P_11[10,0];0.0
P_11[10,1];0.0
P_11[11,0];0.0
P_11[11,1];0.0
P_11[12,0];0.0
P_11[12,1];0.0
P_11[13,0];0.0
P_11[13,1];0.0
P_11[14,0];0.0
P_11[14,1];0.0
P_11[15,0];0.0
P_11[15,1];0.0
P_11[16,0];0.0
P_11[16,1];0.0
P_11[17,0];0.0
P_11[17,1];0.0
P_11[18,0];0.0
P_11[18,1];0.0
P_11[19,0];0.0
P_11[19,1];0.0
P_11[20,0];0.0
P_11[20,1];0.0
P_11[21,0];0.0
P_11[21,1];0.0
P_11[22,0];0.0
P_11[22,1];0.0
P_11[23,0];0.0
P_11[23,1];0.0
P_11[24,0];0.0
P_11[24,1];0.0
P_11[25,0];0.0
P_11[25,1];0.0
P_11[26,0];0.0
P_11[26,1];0.0
P_11[27,0];0.0
P_11[27,1];0.0
P_11[28,0];106.92059946258065
P_11[28,1];99.32822101658067
P_11[29,0];0.0
P_11[29,1];0.0
P_11[30,0];0.0
P_11[30,1];0.0
P_11[31,0];0.0
P_11[31,1];0.0
P_11[32,0];0.0
P_11[32,1];0.0
P_11[33,0];0.0
P_11[33,1];0.0
P_11[34,0];0.0
P_11[34,1];0.0
P_11[35,0];0.0
P_11[35,1];0.0
P_11[36,0];0.0
P_11[36,1];0.0
P_11[37,0];0.0
P_11[37,1];0.0
P_11[38,0];0.0
P_11[38,1];0.0
P_11[39,0];0.0
P_11[39,1];0.0
P_11[40,0];0.0
P_11[40,1];0.0
P_11[41,0];0.0
P_11[41,1];0.0
P_11[42,0];0.0
P_11[42,1];0.0
P_11[43,0];0.0
P_11[43,1];0.0
P_11[44,0];0.0
P_11[44,1];0.0
P_11[45,0];0.0
P_11[45,1];0.0
P_11[46,0];0.0
P_11[46,1];0.0
P_11[47,0];165.89442347997337
P_11[47,1];154.5539798979734
P_11[48,0];0.0
P_11[48,1];0.0
P_11[49,0];0.0
P_11[49,1];0.0
P_11[50,0];0.0
P_11[50,1];0.0
P_11[51,0];166.4096603263992
P_11[51,1];155.06921674439923
P_11[52,0];0.0
P_11[52,1];0.0
P_11[53,0];0.0
P_11[53,1];0.0
P_11[54,0];0.0
P_11[54,1];0.0
P_11[55,0];0.0
P_11[55,1];0.0
P_11[56,0];0.0
P_11[56,1];0.0
P_11[57,0];0.0
P_11[57,1];0.0
P_11[58,0];0.0
P_11[58,1];0.0
P_11[59,0];0.0
P_11[59,1];0.0
P_11[60,0];0.0
P_11[60,1];0.0
P_11[61,0];0.0
P_11[61,1];0.0
P_11[62,0];172.89085827590134
P_11[62,1];161.14388870790137
P_11[63,0];0.0
P_11[63,1];0.0
P_11[64,0];192.70920228594812
P_11[64,1];179.52595295676142
P_11[65,0];60.370962258676286
P_11[65,1];56.0817293266763
P_11[66,0];308.74885562332764
P_11[66,1];287.50551941980825
P_11[67,0];65.33290972588941
P_11[67,1];60.719606173050124
P_11[68,0];326.66797812799814
P_11[68,1];304.1295829404787
P_11[69,0];69.81438801460311
P_11[69,1];64.9133679275051
P_11[70,0];0.0
P_11[70,1];0.0
P_11[71,0];0.0
P_11[71,1];0.0
P_11[72,0];0.0
P_11[72,1];0.0
P_11[73,0];0.0
P_11[73,1];0.0
P_11[74,0];0.0
P_11[74,1];0.0
P_11[75,0];0.0
P_11[75,1];0.0
P_11[76,0];338.52144409359147
P_11[76,1];315.159214250072
P_11[77,0];89.73216452858651
P_11[77,1];83.38098310548851
P_11[78,0];0.0
P_11[78,1];0.0
P_11[79,0];0.0
P_11[79,1];0.0
P_11[80,0];342.06018775982875
P_11[80,1];318.48471978430933
P_11[81,0];0.0
P_11[81,1];0.0
P_11[82,0];107.54503245460555
P_11[82,1];99.94209212550754
P_11[83,0];0.0
P_11[83,1];0.0
P_11[84,0];0.0
P_11[84,1];0.0
P_11[85,0];351.5864761042191
P_11[85,1];327.3527825050645
P_11[86,0];120.76045025963239
P_11[86,1];112.08519310272823
P_11[87,0];0.0
P_11[87,1];0.0
P_11[88,0];0.0
P_11[88,1];0.0
P_11[89,0];459.43723088300436
P_11[89,1];427.6005969547517
P_11[90,0];106.85123520728666
P_11[90,1];99.16553063847823
P_11[91,0];0.0
P_11[91,1];0.0
